City,Property Type,Bedrooms,Bathrooms,Square Footage,Address,Zip code,Price
Toronto,apartment,2.5,1,574,"3443 Bathurst Street  - Toronto , ON",M6A 2C7,$2850
Toronto,apartment,0-1,1,1341,"1512 King Street West  - Toronto , ON",M6K 1G4,$1350 - $1750
Toronto,apartment,0,1,700,"1510 King Street West  - Toronto , ON",M6K 1G4,$1350
Toronto,apartment,1-2.5,2,850,"30 Inn On The Park Drive  - Toronto , ON",Postal code not found,$2400 - $4100
Toronto,multi-unit,1,1,714,"48 Dewhurst Blvd.  - Toronto , ON",M4J 1L7,$2450
Toronto,apartment,0,1,775,"5 Glenavon Road  - Toronto , ON",M6K 1C2,$1681 - $1756
Toronto,apartment,0-2,1,1100,"111 Pacific Avenue  - Toronto , ON",Postal code not found,$2259 - $3270
Toronto,apartment,1,1,1400,"120 Raglan Avenue  - Toronto , ON",M6C 4B3,$2190 - $2459
East York,apartment,1,1,502,"327 Chisholm Ave.  - East York , ON",M4C 4T4,$2199
Toronto,apartment,0-1,1,650,"1554, 1560, 1570 &amp; 1574 Bathurst St.  - Toronto , ON",Postal code not found,$1825 - $2100
Toronto,duplex,1,1,900,"90 Tecumseth St.  - Toronto , ON",M6J 2H1,$2750
Toronto,apartment,1,1,550,"919 Dufferin  - Toronto , ON",M6H 4B4,$2725
Toronto,apartment,1-2,1.5,720,"30 Edith Drive  - Toronto , ON",M4R 2G8,$2699 - $3449
Toronto,apartment,1,1,1000,"30 Shore Breeze Drive  - Toronto , ON",M8V 1A2,$2495
Toronto,apartment,1,1,650,"140 Kingston Road  - Toronto , ON",M4L 1P3,$2455 - $2484
Toronto,apartment,2,2,1200,"108 Peter Street  - Toronto , ON",M5V 2G5,$3500
Toronto,apartment,0-2,1,681,"Spadina Towers  - Toronto , ON",M5S 2T9,$2095 - $3395
Scarborough,apartment,2,2,830,"757 Victoria Park Avenue  - Scarborough , ON",M1L 1B1,$3845
Toronto,apartment,1,1,562,"120 Parliament Street  - Toronto , ON",M5A 2Z2,$2595
Toronto,apartment,1-3,2.5,795,"20 Inn On The Park Drive  - Toronto , ON",Postal code not found,$2200 - $6000
Toronto,apartment,1.5,1,550,"80 Vanauley Street  - Toronto , ON",M5V 2V4,$2600
Toronto,apartment,1-2.5,2.5,700,"215 Lonsdale Road  - Toronto , ON",M4V 2K5,$3400 - $7040
Toronto,apartment,1,1,591,"185 Roehampton Avenue  - Toronto , ON",M4P 1K5,$2645
York,apartment,2,2,1125,"900 St Clair Ave West  - York , ON",Postal code not found,$3000
Toronto,apartment,2,2,946,"56 Annie Craig Drive  - Toronto , ON",M8V 1A2,$3000
Toronto,apartment,1.5,2,1100,"763 Bay Street  - Toronto , ON",M5G 2J9,$2900
Toronto,apartment,1,1,750,"110 Charles St. E.  - Toronto , ON",M4Y 1T2,$2700
Toronto,duplex,2,1,600,"1250 Danforth Avenue  - Toronto , ON",M4J 1M6,$2700
Toronto,apartment,0,1,550,"492 Montrose Ave.  - Toronto , ON",M6G 1L6,$1500
Toronto,apartment,1,1,625,"5 &amp; 11 Elm Avenue  - Toronto , ON",M4W 1N2,$2395
Toronto,duplex,3,1.5,645,"103 Galt Avenue  - Toronto , ON",M4J 1A7,$4585
Toronto,apartment,1.5,1,572,"158 Front St East  - Toronto , ON",M5A 2Y5,$2650
Toronto,apartment,1,1,840,"75 Kensington Avenue  - Toronto , ON",M5T 2J8,$2945
Toronto,house,2,1,856,"263 Garden Avenue  - Toronto , ON",M6R 1M9,$3445
Toronto,apartment,1,1,800,"75 Kensington Avenue  - Toronto , ON",M5T 2J8,$2545
Scarborough,apartment,1,1,909,"1080 Kingston Rd.  - Scarborough , ON",M4E 3T2,$2031
Toronto,apartment,1,1,660,"11 Shallmar Boulevard  - Toronto , ON",M5N 2N1,$2200
Scarborough,apartment,2,1,650,"303 Warden Avenue  - Scarborough , ON",M1L 1E3,$2495
Toronto,apartment,2,1,1035,"75 Kensington Avenue  - Toronto , ON",M5T 2J8,$2995
Toronto,town-house,2,1.5,916,"15 Cummings St  - Toronto , ON",M4M 1R4,$4400
Toronto,apartment,2,2,709,"676 Richmond Street West  - Toronto , ON",M6J 1C5,$3750
Toronto,apartment,1-2,1,575,"3 Broadway Avenue  - Toronto , ON",M4P 1T4,$2045 - $2492
Toronto,apartment,1-2,1,530,"1903 Bayview Avenue  - Toronto , ON",M4G 0A7,$2609 - $3032
Toronto,apartment,1,1,1215,"83 Redpath Ave  - Toronto , ON",M4P 1G4,$2600
Toronto,multi-unit,1,1.5,776,"341 St. Clair Ave. W.  - Toronto , ON",M5P 2X9,$2999
Toronto,apartment,1-2,1,855,"3575 Bathurst Street  - Toronto , ON",M6A 2E2,$2397 - $2804
Toronto,apartment,1,1,515,"75 Kensington Avenue  - Toronto , ON",M5T 2J8,$2645
Etobicoke,apartment,1,1,694,"403 Bloor Street West  - Etobicoke , ON",M8X 1A5,$2595
Toronto,apartment,1.5,1,738,"101 Erskine Avenue  - Toronto , ON",M4P 1Y5,$2700
Toronto,apartment,1-3,2,892,"480 Front Street West  - Toronto , ON",M5J 2J1,$2475 - $5350
Toronto,apartment,1-2.5,2,457,"470 Front Street West  - Toronto , ON",M5J 1E3,$2500 - $4995
Toronto,apartment,2.5,2,1337,"33 Mill St  - Toronto , ON",M5A 3C4,$4250
Toronto,apartment,1.5,1,200,"318 King St E  - Toronto , ON",M5A 2W5,$2850
Toronto,apartment,1,1.5,600,"111 Elizabeth St  - Toronto , ON",M5G 1P7,$2500
Toronto,apartment,1,1,300,"12 York St  - Toronto , ON",M5J 0A3,$2700
Toronto,apartment,1,1,699,"10 York Street  - Toronto , ON",M5J 0E1,$2500 - $2800
Toronto,apartment,1.5,1,1091,"1 Old Mill Drive  - Toronto , ON",Postal code not found,$2650
Toronto,apartment,1.5,1,674,"50 McCaul Street  - Toronto , ON",M5T 1L1,$2600
Toronto,apartment,2,2,1120,"300 Front Street West  - Toronto , ON",M5V 3B5,$3800
East York,apartment,2,1,1136,"5, 7 &amp; 9 Stag Hill Dr.  - East York , ON",Postal code not found,$2849
Toronto,apartment,1-2,1,677,"251 Jarvis Street  - Toronto , ON",M5A 4R6,$2950
City not found,apartment,1-2,1,600,"65-65A Hillside Dr.  - East York , ON",M4K 2S5,$2315 - $2811
Toronto,apartment,0-1,1,491,"22 Close Ave  - Toronto , ON",M6K 2V4,$2100 - $2400
Toronto,town-house,2,1.5,830,"15 Cummings St  - Toronto , ON",M4M 1R4,$4300
Toronto,apartment,1,1,550,"215 Fort York Boulevard  - Toronto , ON",M5V 4A2,$2850
Toronto,apartment,3,2,600,"20 Edward Street  - Toronto , ON",M5B 1R7,$5000
Toronto,apartment,0-2,2,373,"585 Bloor Street East  - Toronto , ON",M4W 1J4,$2200 - $3600
Toronto,apartment,1-2.5,1.5,790,"66 Broadway Ave  - Toronto , ON",M4P 1T4,$1925 - $2700
Etobicoke,apartment,1,1,778,"251 Manitoba Street  - Etobicoke , ON",M8Y 4H5,$2100
Toronto,duplex,1,1,648,"36 Charlotte Street  - Toronto , ON",M5V 1R7,$2344
Toronto,apartment,2.5,2.5,704,"118 Merchants Wharf  - Toronto , ON",Postal code not found,$4900
Toronto,apartment,1,1,1100,"386 Yonge St.  - Toronto , ON",M4N 3R8,$3350
Toronto,apartment,1,1,933,"11 Niagara Street  - Toronto , ON",M5V 2P1,$4000 - $4001
Toronto,apartment,1-3,1.5,790,"39 Niagara St.  - Toronto , ON",M5V 2P1,$3456 - $5500
Toronto,apartment,1,1,550,"17 Bathurst Street  - Toronto , ON",M6C 0A2,$2500
Toronto,apartment,1.5,1,850,"2 Old Mill Drive  - Toronto , ON",Postal code not found,$3250
Toronto,apartment,1.5,2,750,"18 Yonge Street  - Toronto , ON",M5E 2A1,$3000
Toronto,apartment,1-2,1,1100,"80 Guestville Ave  - Toronto , ON",M4N 4P5,$1999 - $2399
Toronto,apartment,1-2,1,750,"3000, 3015, 3017 Queen St. E  - Toronto , ON",M4M 1G3,$2226 - $2829
Toronto,apartment,1,1,750,"37 Grange Ave,  - Toronto , ON",M5T 1G7,$2600
Toronto,apartment,0,1,650,"262 Jarvis Street  - Toronto , ON",M5A 4R6,$2025 - $2195
City not found,apartment,2-3,2,750,"592-596 Churst Street  - Toronto , ON",Postal code not found,$2800 - $5399
City not found,multi-unit,0,1,650,"7 - 9 Homewood ave  - Toronto , ON",M2M 3W7,$1079
North York,apartment,1,1,650,"160 Flemington Road  - North York , ON",M6A 2R1,$2245
Toronto,private-room,1,1,650,"500 Queen Street E  - Toronto , ON",M5A 1V1,$750
Scarborough,apartment,1,1,500,"1316 Kingston Road  - Scarborough , ON",M1N 2V8,$2550
Toronto,apartment,3,1,500,"16 Rathnelly Ave  - Toronto , ON",M2R 1K5,$7800
North York,apartment,1-3,1,470,"15 Martha Eaton Way  - North York , ON",M6M 5E6,$2350 - $2900
Toronto,apartment,0,1,650,"3311 Bathurst Street  - Toronto , ON",M6A 2B1,$2070 - $2298
Toronto,apartment,1.5-2.5,3,650,"280 Howland Avenue  - Toronto , ON",M5R 3B6,$2850 - $4650
Toronto,apartment,1-2,1,850,"50 Spadina Road  - Toronto , ON",M5R 2X3,$3176 - $4075
Scarborough,apartment,0-1,1,1336,"10 Macey Avenue  - Scarborough , ON",M1L 2P7,$0 - $1899
Toronto,apartment,1,1,804,"3000 Yonge Street  - Toronto , ON",M4N 2K7,$2090
Toronto,apartment,1,1,650,"539 Dovercourt Road  - Toronto , ON",M6H 1A6,$2095
City not found,apartment,1,1,650,"338-342 Donlands Ave.  - East York , ON",M4J 2P5,$2299
Scarborough,apartment,0-2,1,850,"1150 and 1200 Kingston Rd.  - Scarborough , ON",Postal code not found,$1893 - $2665
Toronto,apartment,0-1,1,550,"2890 St Clair Avenue East  - Toronto , ON",M4B 2J0,$1799 - $1999
East York,apartment,1,1,550,"82 Halsey Avenue  - East York , ON",M4B 2E6,$1995
North York,apartment,1,1,650,"1465 Lawrence Ave West  - North York , ON",M6L 3C9,$2182
Toronto,apartment,1.5-2,2,643,"1 Edgewater Drive  - Toronto , ON",M5A 0L1,$3100 - $3250
Toronto,apartment,1-2,2,812,"575 Bloor Street East  - Toronto , ON",M4W 1J4,$2400 - $3250
City not found,apartment,0-1,1,650,"310-312 Lonsdale Road  - Toronto , ON",M5T 2E9,$2100 - $2412
Toronto,apartment,0-2,1,850,"2837 Yonge Street  - Toronto , ON",M4N 2K7,$1899 - $2924
Etobicoke,apartment,2.5,2,650,"15 Legion road  - Etobicoke , ON",M8V 4C5,$3599
City not found,apartment,2,1,550,"1833-1835 Bayview Avenue  - East York , ON",M4K 2B9,$2692
Toronto,apartment,0-2,2,550,"89 McGill Street  - Toronto , ON",M5B 2A2,$2400 - $3800
Toronto,apartment,1.5,1,550,"121 Lower Sherbourne St  - Toronto , ON",M5A 4M8,$2800
Toronto,apartment,2,2,1722,"375 King St W  - Toronto , ON",M5V 1L8,$3850
Toronto,apartment,2,2,550,"88 Blue Jays Way  - Toronto , ON",M5V 1K2,$3900
Toronto,apartment,1,2,650,"33 Harbour Sq  - Toronto , ON",M5J 1A6,$3500
Toronto,apartment,1.5,2,1300,"39 Queens Quay E  - Toronto , ON",M5E 1Z2,$3300
Toronto,apartment,1.5,1,850,"35 Mariner Terr  - Toronto , ON",M5V 3Y7,$3100
Toronto,apartment,1.5,1,750,"705 King St W  - Toronto , ON",M5V 2W8,$2850
Toronto,apartment,1,1,550,"1171 Queen St W  - Toronto , ON",M6J 1J6,$2850
Toronto,apartment,1.5,1,1300,"801 King St W  - Toronto , ON",M5V 1C9,$2850
Toronto,apartment,1,1,650,"11 Charlotte St  - Toronto , ON",M5V 1K1,$2780
Toronto,apartment,1,1,750,"80 Western Battery Rd  - Toronto , ON",M6K 3R9,$2750
Toronto,apartment,1,1,1100,"17 Bathurst St  - Toronto , ON",M6C 0A2,$2500
Toronto,apartment,1,1,650,"158 Front St E  - Toronto , ON",M5A 2Y5,$2500
Toronto,apartment,1-2,1,850,"145 Marlee Avenue  - Toronto , ON",M6E 2N4,$2384 - $3184
Toronto,apartment,0-1,1,500,"33 Eastmount Avenue  - Toronto , ON",M4K 2R6,$1915 - $2260
Toronto,apartment,1.5,1,550,"10 York St  - Toronto , ON",M5J 0E1,$2800
Toronto,apartment,1,1,750,"208 Queens Quay W  - Toronto , ON",M5J 2Y5,$2500
Toronto,apartment,2,2,650,"1 Shaw St  - Toronto , ON",M6K 3R9,$3600
Toronto,apartment,0-3,2,550,"299 Campbell Avenue  - Toronto , ON",Postal code not found,$2175 - $5700
Toronto,apartment,1,2,650,"2191 Yonge Street  - Toronto , ON",M4Y 1X4,$2845
Toronto,apartment,1.5,1,950,"55 Bremner Blvd  - Toronto , ON",M5J 2V5,$2700
Toronto,apartment,1.5,1,750,"318 Richmond St W  - Toronto , ON",M5V 3M6,$3000
Toronto,apartment,2,2,850,"478 King St W  - Toronto , ON",M5V 1L8,$3800
Toronto,apartment,1,1,650,"8 Mercer St  - Toronto , ON",M5V 1J5,$2600
Toronto,apartment,1.5,1,750,"15 Queens Quay E  - Toronto , ON",M5E 1E5,$2700
Toronto,apartment,1.5,1,650,"51 East Liberty St  - Toronto , ON",M6K 3P8,$2600
North York,apartment,1,1,550,"2050 Keele Street  - North York , ON",M6M 2L7,$2077 - $2153
Toronto,apartment,1-2,1,750,"1 Deauville Lane  - Toronto , ON",M3C 1C3,$1995 - $2350
Toronto,apartment,1.5,1,859,"55 Cooper St  - Toronto , ON",M5E 0A3,$2950
Toronto,apartment,2,2,650,"151 Dan Leckie Way  - Toronto , ON",M5V 4A7,$3500
Toronto,apartment,1.5,1,1800,"16 Bonnycastle St  - Toronto , ON",M5A 0L1,$2995
Toronto,apartment,1,1,448,"38 Joe Shuster Way  - Toronto , ON",M6K 0A5,$2600
Toronto,apartment,1,1,688,"87 Peter St  - Toronto , ON",M5V 1K2,$2600
Toronto,apartment,1,1,1460,"1 The Esplanade Dr  - Toronto , ON",M5E 1A7,$2550
Toronto,apartment,1-3,3.5,673,"25 Ordnance Street  - Toronto , ON",M6K 3P8,$2560 - $6300
Toronto,apartment,1.5,1,800,"80 Queens Wharf Rd  - Toronto , ON",M5V 0S4,$2750
Toronto,apartment,1.5,1,915,"125 Peter St  - Toronto , ON",M5V 2G5,$3000
Toronto,apartment,2,2,840,"62 Niagara St  - Toronto , ON",M5V 1G4,$4200
Toronto,apartment,2,2,800,"130 River St  - Toronto , ON",M5A 0M9,$3500
Toronto,apartment,1.5-2.5,2,660,"70 Temperance St  - Toronto , ON",M5H 4B2,$3200 - $3800
Toronto,apartment,1,1,735,"25 Oxley St  - Toronto , ON",M5V 3P8,$2600
Toronto,apartment,2,2,675,"50 Bruyeres Mews  - Toronto , ON",M5V 0G7,$4000
Toronto,apartment,1.5,1,577,"81 Navy Wharf Crt  - Toronto , ON",M5V 3Z9,$3000
Toronto,apartment,1-1.5,1,550,"330 Richmond St W  - Toronto , ON",M5V 3M6,$3200 - $3400
Toronto,apartment,2,2,765,"99 Cameron St  - Toronto , ON",M5T 1E2,$3750
Toronto,apartment,1.5-2.5,2,811,"60 Princess St  - Toronto , ON",M5A 4M8,$2550 - $3200
Toronto,apartment,2,2,576,"15 Lower Jarvis St  - Toronto , ON",M5E 0C4,$3500
Toronto,apartment,1,1,874,"126 Simcoe St  - Toronto , ON",M5H 3B3,$2500
Toronto,apartment,1,1,560,"32 Camden St  - Toronto , ON",M5V 1X9,$2800
Toronto,apartment,2,2,557,"30 Nelson St  - Toronto , ON",M1J 2V6,$3700
Toronto,apartment,2,2,600,"68 Abell St  - Toronto , ON",M6J 0A9,$3000
Toronto,apartment,1,1,618,"85 Queens Wharf Rd  - Toronto , ON",M5V 0S4,$2650
Toronto,apartment,1-1.5,2,600,"138 Downes St  - Toronto , ON",M5E 1Z2,$2500 - $3400
Toronto,apartment,2,2,1071,"80 Vanauley St  - Toronto , ON",M5V 2V4,$3750
Toronto,apartment,1.5-2,1,633,"28 Freeland St  - Toronto , ON",M5E 1E5,$3000 - $3500
Toronto,apartment,2,2,617,"1 Market St  - Toronto , ON",M5E 0A3,$3700
Toronto,apartment,1.5,2,690,"19 Western Battery Rd  - Toronto , ON",M6K 3R9,$2800 - $3000
Toronto,apartment,1.5,2,635,"38 Grand Magazine St  - Toronto , ON",M5V 1A8,$3000
Toronto,apartment,1.5,1,657,"19 Grand Trunk Cres  - Toronto , ON",M5J 0A1,$2850
Toronto,apartment,1,1,600,"109 Front St  - Toronto , ON",M5A 4S5,$2850
Toronto,apartment,1.5,1,814,"35 Bastion St  - Toronto , ON",M5V 1A4,$2800 - $2900
Toronto,apartment,1,1,786,"2 12Kingston Road  - Toronto , ON",M4L 1V3,$1950
